Adaptive MI,mi,EMI,ATT
1,0.8999999622859894,1,1
1,0.8999999627490389,1,1
1,0.8999999604743286,1,1
1,0.8999999646583536,1,1
1,0.8999999690332208,1,1
1,0.8999999601970107,0,1
1,0.8999999598253424,1,1
1,0.8999999646353803,1,1
1,0.8999999667832341,1,1
1,0.8999999628195384,1,1
1,0.8999999657716012,1,1
1,0.8999999716006409,1,1
1,0.8999999667573574,0,1
1,0.8999999619084076,1,1
1,0.8999999647539061,1,1
1,0.8999999619065399,1,1
1,0.8999999580743219,1,1
1,0.8999999575187198,1,1
1,0.8999999710557118,1,1
1,0.8999999529384742,1,1
1,0.8999999571820038,1,1
1,0.8999999631330498,1,1
1,0.8999999692630668,1,1
1,0.8999999565236947,1,1
1,0.8999999663387408,1,1
1,0.8999999644351089,1,1
1,0.8999999650935594,0,1
1,0.8999999627382419,1,1
1,0.8999999618594682,1,1
1,0.8999999479543774,1,1
1,0.8999999679134446,1,1
1,0.8999999610697506,1,1
1,0.8999999616230159,1,1
1,0.8999999695278873,1,1
1,0.8999999614820883,1,1
1,0.8999999629948262,1,1
1,0.8999999721699072,1,1
1,0.8999999668931833,1,1
1,0.8999999656205504,1,1
1,0.8999999662025021,1,1
1,0.899999965,1,1
1,0.8999999654395843,1,1
1,0.8999999664871282,1,1
1,0.8999999574497406,1,1
1,0.8999999629299128,1,1
1,0.8999999671820803,1,1
1,0.8999999614955908,1,1
1,0.8999999619220029,1,1
1,0.8999999610658826,1,1
1,0.8999999574442706,1,1
1,0.8999999673871337,1,1
1,0.8999999693457773,1,1
1,0.8999999594933915,1,1
1,0.8999999701689377,1,1
1,0.8999999521910681,1,1
1,0.8999999641455956,1,1
